model,search_type,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,best_params,param_model__alpha,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate
random_forest,randomized,1.9092770576477052,0.3710953158885167,0.5728044986724854,0.43311807193105456,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_depth': None}",0.9725143430635375,0.9674859786126666,0.9627971012706572,0.9679074525689971,0.9581714240599792,0.9657752599151674,0.004890312756464151,11,-6.394622875006343,-6.852169117685818,-6.650779406374729,-6.022298645421764,-7.993818779020668,-6.782737764701864,0.6660107756017012,12,-1.556283506102991,-1.6075760279194768,-1.4977915540875144,-1.4624283969633922,-1.5827417011103808,-1.541364237236751,0.0537552340186791,11,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,200.0,5.0,,
random_forest,randomized,1.9986324310302734,0.08351223719409993,0.1770933151245117,0.06694100368417119,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_depth': 20}",0.9725143430635375,0.9674859786126666,0.9627971012706572,0.9679074525689971,0.9581714240599792,0.9657752599151674,0.004890312756464151,11,-6.39462287500634,-6.852169117685813,-6.6507794063747285,-6.022298645421762,-7.993818779020664,-6.782737764701861,0.6660107756017005,11,-1.5562835061029914,-1.6075760279194764,-1.4977915540875149,-1.4624283969633922,-1.582741701110381,-1.541364237236751,0.053755234018678974,11,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,200.0,5.0,20,
gradient_boosting,randomized,0.5809716701507568,0.06143775627472092,0.009235954284667969,0.006925641928068904,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",0.9190631145867456,0.9211006845857737,0.9201835145865251,0.9242514741823867,0.9164331869156784,0.9202063949714219,0.0025576212510551003,16,-18.830216068394783,-16.627640304700392,-14.268830000025236,-14.214522714498429,-15.970372997977545,-15.982316417119279,1.7081128923739466,16,-3.1743290635096333,-3.0351546968195793,-2.8028672680128217,-2.7880218695579173,-2.8443654530226055,-2.928947670184512,0.15126299035182766,16,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,100.0,,2,0.03
gradient_boosting,randomized,1.0632160186767579,0.0616817612102284,0.009832000732421875,0.0041499474961416245,"{'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.03}",0.9667791531579264,0.9645323460183687,0.9568209207764984,0.9637117066731588,0.9535386694104471,0.9610765592072799,0.005026654622297297,14,-7.7289324986658485,-7.474632571422835,-7.719143956365581,-6.80964763600491,-8.879180049008172,-7.722307342293469,0.668236319105364,14,-1.8074963295578788,-1.7725293180297097,-1.6376530335243815,-1.6223668989590152,-1.745010750552855,-1.7170112661247678,0.07390406922181678,14,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,200.0,,2,0.03
gradient_boosting,randomized,0.8182515621185302,0.11229705772779179,0.00953521728515625,0.004832209463372009,"{'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.05}",0.9760737957604668,0.9725289538938116,0.9658649557124612,0.9714564727770091,0.9623879030589186,0.9696624162405334,0.004896543940660748,10,-5.566505224738653,-5.789387031426368,-6.102337649409901,-5.356310392627684,-7.188011546869145,-6.00051036901435,0.6431881499138364,10,-1.5190629158048654,-1.4835673943801553,-1.4111200149457617,-1.392634020224554,-1.5169042198382534,-1.464657713038718,0.05310536141087041,12,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,100.0,,3,0.05
gradient_boosting,randomized,2.729009437561035,0.28560890972319325,0.011530828475952149,0.0034972592553296133,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.03}",0.9823342936089985,0.9763708242008022,0.9802623158030613,0.9826229384350949,0.9748179657648481,0.9792816675625611,0.0031572751102882436,4,-4.109981087669906,-4.979731875021423,-3.528514929482923,-3.260877141296754,-4.812514259427555,-4.138323858579713,0.6789820514663707,4,-1.2067270102888183,-1.2513761690883318,-1.1134754541869512,-1.0723551962388649,-1.1952076497525195,-1.167828295911097,0.06528756431965692,4,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,200.0,,5,0.03
gradient_boosting,randomized,1.662062644958496,0.24637359212025475,0.008012485504150391,0.0008378008433725774,"{'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.03}",0.9776846677690916,0.9743100576978928,0.9670531270081343,0.9732347308553047,0.9648013932756537,0.9714167953212153,0.004770057173247641,8,-5.191730882656453,-5.414028218183034,-5.889927717538771,-5.022612943425379,-6.726771760815126,-5.649014304523753,0.6125856121451898,8,-1.4097380381367297,-1.3604837809516643,-1.3119646921849608,-1.297638920629991,-1.408186610581143,-1.3576024084968976,0.0468265068374699,9,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,200.0,,3,0.03
gradient_boosting,randomized,1.2432220458984375,0.13637231594321278,0.00789194107055664,0.0005791714531591037,"{'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.1}",0.9737497148697707,0.9699993120528415,0.9607922717745543,0.9707289265957058,0.9596595267615057,0.9669859504108755,0.005672334039898559,11,-6.107209813367022,-6.32249653194033,-7.009183702313556,-5.492837428742996,-7.709428907904071,-6.528231276853594,0.763959338949561,11,-1.365662962286536,-1.381709015905568,-1.259273024637556,-1.2407192280236536,-1.400115008322191,-1.3294958478351009,0.0660815769160805,8,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,200.0,,2,0.1
gradient_boosting,randomized,1.4486010551452637,0.2424329053925247,0.008014583587646484,0.0013816666628410784,"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.1}",0.982914903429739,0.977512563897052,0.979165559142932,0.9819984213927786,0.9765548134794297,0.9796292522683862,0.0024720849798114983,3,-3.9749004217886728,-4.73911588372707,-3.724582624692897,-3.378070335326292,-4.480586968930496,-4.059451246893086,0.4945432433561957,3,-1.1976496136573924,-1.2241150536615937,-1.1075665776064836,-1.1113644954135635,-1.1721603867236032,-1.1625712254125273,0.0463847574306724,3,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,100.0,,5,0.1
gradient_boosting,randomized,1.6625709056854248,0.2666641626784875,0.007537460327148438,0.00032239462771404577,"{'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.1}",0.9790219992744553,0.9741196954190301,0.9659803491990356,0.975650439331964,0.962545075950086,0.9714635118349142,0.006185789789429742,7,-4.880596582485483,-5.45414612648039,-6.081708702463532,-4.569295302686589,-7.1579743873261545,-5.62874422028843,0.9226443645532799,7,-1.2824410937007467,-1.2645380001806688,-1.2312631994530048,-1.142635466069247,-1.3477787797273189,-1.2537313078261973,0.06728010898497977,7,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,200.0,,3,0.1
gradient_boosting,randomized,2.3791455268859862,0.03502712785753937,0.009303140640258788,0.0012120927662032119,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.05}",0.983370298085467,0.977056672686365,0.9814902624818286,0.9833670456827321,0.9751502266099163,0.9800869011092619,0.003378239383929229,2,-3.868951450315798,-4.835192700485005,-3.3089943339861665,-3.1212423529045625,-4.749016209992462,-3.976679409536799,0.7103140763413618,2,-1.152259365650519,-1.185197928910778,-1.06499003670239,-1.0438408208487844,-1.1472376112855793,-1.1187051526796101,0.0545000138679777,1,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,200.0,,5,0.05
gradient_boosting,randomized,0.9004029750823974,0.13261259939094108,0.00801992416381836,0.001959289410989497,"{'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.03}",0.9574383220313345,0.9573164902590581,0.9498991386018987,0.9562689505072579,0.9471198946066884,0.9536085592012474,0.004274484468771543,15,-9.902105675197683,-8.99533846635361,-8.95655415596195,-8.206311471198253,-10.105865906976813,-9.233235135137662,0.6923281973364507,15,-2.273951547329854,-2.1603791682551767,-2.102828997379015,-2.038488214384514,-2.1468027608673625,-2.1444901376431846,0.07744691660831098,15,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,100.0,,3,0.03
gradient_boosting,randomized,1.6551908016204835,0.2299880079376242,0.006919479370117188,0.0010248155383501363,"{'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.05}",0.9796679374926557,0.9761683284581986,0.9685053425932715,0.9747225860940368,0.9648769506863177,0.972788229064896,0.005355905883937148,6,-4.730317063407847,-5.022406850761964,-5.630314465960905,-4.743410782610174,-6.7123320569838,-5.367756243944938,0.7472915233431017,6,-1.2582935833736009,-1.2222601281845242,-1.1941934514407764,-1.1687332388269898,-1.3132871209802521,-1.2313535045612287,0.05064334520622909,6,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,200.0,,3,0.05
gradient_boosting,randomized,2.2727725505828857,0.10242569868080403,0.006315040588378906,0.0011186069364568845,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",0.983345309650735,0.9783753619406333,0.9794515010991259,0.9831800386113857,0.9778875607839574,0.9804479544171674,0.002353853255391351,1,-3.874765086741429,-4.557285465440803,-3.6734646489806178,-3.1563349997215515,-4.225886917800406,-3.897547423736962,0.4781608702872577,1,-1.16067619713288,-1.1899701319201168,-1.0864258232835493,-1.064874139975665,-1.1310021042064846,-1.126589679303739,0.046087710053898785,2,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,200.0,,5,0.1
gradient_boosting,randomized,1.265092420578003,0.12336222921792572,0.007943677902221679,0.0014823228779872037,"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.03}",0.9738818278774483,0.9686961232093491,0.9717489636192161,0.9730549967239561,0.9645219970722894,0.9703807817004518,0.003418891739703627,9,-6.076473314583894,-6.5971371321144385,-5.050450835484655,-5.056340793110206,-6.78016689959402,-5.912113794977442,0.738186657022298,9,-1.713819085265785,-1.7117473225102344,-1.5717599257477286,-1.5415893579314135,-1.6904644966186628,-1.6458760376147648,0.07390848959611633,13,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,100.0,,5,0.03
gradient_boosting,randomized,0.6314596176147461,0.09656653262933933,0.007424116134643555,0.0013979645278344858,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.1}",0.9724086652843971,0.9697322733365435,0.9604274441660058,0.9698070802821429,0.9594565721638747,0.9663664070465929,0.005342158197047135,13,-6.419209136321962,-6.378773620007821,-7.074404102569573,-5.6658256845800254,-7.748215365185268,-6.65728558173293,0.7044654267164928,13,-1.4893593523832562,-1.4437977093036414,-1.3336813632059707,-1.3037431054628563,-1.4623606821073853,-1.4065884424926218,0.073808808866232,11,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,100.0,,2,0.1
gradient_boosting,randomized,1.001774549484253,0.027115884000042632,0.005220890045166016,0.0012116721460191375,"{'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.05}",0.9737262791855306,0.970740781245122,0.9613126708815998,0.9689367442197768,0.9598460978426621,0.9669125146749382,0.005412448879124101,12,-6.112662197600707,-6.166235568692043,-6.916151713343736,-5.829147829720357,-7.673773488644563,-6.539594159600282,0.6714997940333618,12,-1.4095677857804232,-1.4016308111457487,-1.282638908208139,-1.3208586436972327,-1.4060677970081845,-1.3641527891679455,0.05242687812963135,10,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,200.0,,2,0.05
gradient_boosting,randomized,1.080681610107422,0.037330512062264676,0.005234956741333008,0.0007040788142130826,"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.05}",0.9818694045648033,0.9755088557194711,0.9798241310921327,0.981933422864186,0.9736101124491496,0.9785491853379484,0.003398248113788675,5,-4.218138957908273,-5.161387467168409,-3.6068494128476267,-3.390267576805475,-5.0433459408880665,-4.28399787112357,0.7222247938530064,5,-1.2523894375700682,-1.2944417264145658,-1.144348427160037,-1.1235670262876638,-1.2458051107451489,-1.2121103456354967,0.06628392821863159,5,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",,100.0,,5,0.05
