model,search_type,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,best_params,param_model__alpha,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate
random_forest,randomized,3.435481643676758,0.3659426822199472,0.6291927814483642,0.36804397895428076,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_depth': None}",-0.023371399691661576,-0.015786968414060798,-0.016950486410235,-0.012463871596807952,-0.018119892414788064,-0.01733852370551068,0.0035588273256775163,10,-91.64849929453561,-99.32232493993145,-101.3511489490647,-97.66023303914382,-98.92539025582983,-97.78151929570107,3.28796056422872,10,-7.441284929810652,-7.7777686304542755,-7.85485516912502,-7.864869225653293,-7.819778800597482,-7.7517113511281455,0.15818980643084946,10,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,200.0,5.0,,
random_forest,randomized,3.5710090160369874,0.11224882213350665,0.4403684616088867,0.08958427457696273,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_depth': 20}",-0.022513610212389956,-0.016344625532497048,-0.01613687286027221,-0.011955342120907098,-0.018499974746363446,-0.01709008509448595,0.003441869331097267,9,-91.57167956075219,-99.37685192565253,-101.27006273179923,-97.61118130651712,-98.96232087005373,-97.75841927895496,3.3074996711765823,9,-7.438221158140025,-7.779373921545092,-7.85179207619365,-7.861671407932643,-7.817407446977476,-7.749693202157777,0.15839463179501906,9,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,200.0,5.0,20,
gradient_boosting,randomized,0.5694574356079102,0.09308558975209227,0.007019424438476562,0.0006369494769999014,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",-0.0020832626701752233,0.010772131697384446,0.01420238621913017,0.012382286740403536,0.02435794143997927,0.01192629668534444,0.008456171142506786,1,-89.74203033186623,-96.72541077051689,-98.2463965778894,-95.2636224721785,-94.79804108741463,-94.95510024797314,2.8727193517819383,1,-7.3216740236793365,-7.611945203106301,-7.727889110026434,-7.713956550026022,-7.697493909450564,-7.614591759257732,0.1519145956898578,1,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,100.0,,2,0.03
gradient_boosting,randomized,1.166657018661499,0.1910630777865818,0.012225914001464843,0.010184289621652548,"{'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.03}",-0.015653400909120707,0.004042230639137556,0.017594722207147084,0.008456524646738406,0.020172486810550505,0.006922512678890569,0.012726185307342047,2,-90.95731034183473,-97.3834517185755,-97.90831015716265,-95.64229360472855,-95.20471984469955,-95.41921713340018,2.451864025678422,2,-7.378409325465211,-7.654676545020743,-7.7112094875940835,-7.751388293934492,-7.733365563152328,-7.645809843033372,0.13760202188103926,3,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,200.0,,2,0.03
gradient_boosting,randomized,0.7717058181762695,0.032583837993479525,0.008120012283325196,0.0009790441550011726,"{'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.05}",-0.03009726585845507,-0.00916363834476619,0.01464856943584969,0.0061762784916200575,-0.004116968246133501,-0.004510604904377003,0.015216874363113305,5,-92.25083735169477,-98.67470436417825,-98.20192914091915,-95.86224157239701,-97.56479927982858,-96.51090234180356,2.3332905561483823,5,-7.411345479593008,-7.698502012641594,-7.695244700340369,-7.774957970273297,-7.7859839773211315,-7.673206828033879,0.13621223170904465,4,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,100.0,,3,0.05
gradient_boosting,randomized,2.6327506065368653,0.19092831413688557,0.010834789276123047,0.00180257847580378,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.03}",-0.09488447901634989,-0.06037476611635029,-0.002220447849330398,-0.015465148049506938,-0.02902067256227947,-0.040393102718763396,0.033395998665639845,12,-98.05288620823427,-103.68206164600181,-99.88312631456893,-97.94973014220906,-99.98456210603888,-99.9104732834106,2.0749100797291318,12,-7.68182227892067,-7.961703588833034,-7.798031716398374,-7.876729859365918,-7.8661618398161295,-7.836889856666825,0.0933578612469217,12,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,200.0,,5,0.03
gradient_boosting,randomized,1.8195233345031738,0.24528795968918873,0.008243131637573241,0.0008557243622102403,"{'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.03}",-0.03746240817881441,-0.011284027650009909,0.010280497199206429,0.0006373079197332654,-0.005671533701399056,-0.008700032882256736,0.016065923716824363,7,-92.9104260806303,-98.88203326494511,-98.63725922413593,-96.39651955704676,-97.71584828249135,-96.90841728184989,2.1809159661307915,7,-7.443922552443119,-7.72162844188465,-7.723170108007967,-7.79831565301106,-7.781261454480876,-7.693659641965534,0.128568031377958,5,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,200.0,,3,0.03
gradient_boosting,randomized,1.1973344802856445,0.1338864805114786,0.007609748840332031,0.0011153830931140355,"{'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.1}",-0.07386750791111418,-0.0298593584019633,-0.004717388140731638,-0.028396164058028805,-0.024135295355985242,-0.03219514277356463,0.02270005411502714,11,-96.17070163468472,-100.69830487915247,-100.13197595943612,-99.19702999384073,-99.50987552906479,-99.14157759923577,1.5728389024852674,11,-7.592696969938715,-7.850662158665544,-7.838857693089088,-7.93164725991854,-7.883837676466182,-7.819540351615615,0.11789974659722319,11,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,200.0,,2,0.1
gradient_boosting,randomized,1.5288264274597168,0.27980833364612656,0.006731271743774414,0.0004165450836346136,"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.1}",-0.1392802280100156,-0.10473429925508082,-0.040654701456837694,-0.033532997503179285,-0.061625419911484736,-0.07596552922731963,0.04022289460593467,15,-102.02876805479778,-108.01947894075951,-103.71355445652392,-99.69251863833475,-103.15259504571824,-103.32138302722686,2.7237438662740674,15,-7.873514997224531,-8.154096887418742,-7.969481132025023,-7.932770965287501,-8.031769766235568,-7.9923267496382735,0.09582314463760551,15,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,100.0,,5,0.1
gradient_boosting,randomized,1.6546664237976074,0.2908820369434709,0.007929515838623048,0.0013109009163459078,"{'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.1}",-0.12666021117900228,-0.06660113533594725,-0.034564634864502564,-0.05544808084241559,-0.07506754914664193,-0.07166832227370193,0.03066306841663946,14,-100.89857660721323,-104.2908679076044,-103.10660726041384,-101.80640359366318,-104.45869650819265,-102.91223037541745,1.3861915948269303,14,-7.824162424363671,-7.9601625806808585,-7.928775949491598,-8.027520027216275,-8.064061356911772,-7.960936467732834,0.08343877987592689,14,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,200.0,,3,0.1
gradient_boosting,randomized,2.546653175354004,0.14223656382376523,0.00738835334777832,0.001482766129086271,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.05}",-0.12993622214952416,-0.08587062137644508,-0.024961389162738268,-0.033868193999440965,-0.059057055643229495,-0.06673869646627559,0.038065151377457807,13,-101.19196128574853,-106.17501312057946,-102.14953019666251,-99.72485101962477,-102.90304050950968,-102.42887922642498,2.1530498596584913,13,-7.838945197845378,-8.029310960278645,-7.910332457494218,-7.939108090796401,-8.00695124165355,-7.944929589613639,0.0684550125774889,13,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,200.0,,5,0.05
gradient_boosting,randomized,0.8767727851867676,0.1484533564041904,0.007317495346069336,0.001247341344991923,"{'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.03}",-0.011769102038258428,0.0013307155244592916,0.015635453245465003,0.009543118281713503,0.011476521062021572,0.005243341215080188,0.009696065918939538,3,-90.60945015888134,-97.648580130018,-98.10357449207405,-95.53748296349238,-96.04966139994626,-95.5897498288824,2.667423173310657,3,-7.344837297201413,-7.647019880239833,-7.700405681057784,-7.744439981182038,-7.731169737737586,-7.633574515483732,0.14821089206809598,2,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,100.0,,3,0.03
gradient_boosting,randomized,1.7661719799041748,0.2140372054573993,0.007027816772460937,0.0008909960417138658,"{'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.05}",-0.06210162688191545,-0.024166406395366602,0.0013816247107029112,-0.014076717998998234,-0.029663500296184475,-0.02572532537235237,0.021031650235613746,9,-95.11700271410807,-100.14165545693213,-99.52413716275095,-97.81580496611622,-100.04702231815887,-98.52912452361325,1.8997747188363752,9,-7.532949179263232,-7.765781841999931,-7.782639545901179,-7.855562612993483,-7.886655442298004,-7.764717724491166,0.12422607083598515,9,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,200.0,,3,0.05
gradient_boosting,randomized,2.351084089279175,0.10981176450699086,0.00532064437866211,0.0006788908248140209,"{'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1}",-0.20268891123483534,-0.1629470919814473,-0.09261290554474311,-0.08930099929582336,-0.10962329293585693,-0.1314346401985412,0.044335790068399904,16,-107.70736202522558,-113.71144988999917,-108.8918042848198,-105.07178816486842,-107.81629757796514,-108.63974038857563,2.830669320852093,16,-8.159466588604166,-8.3935261505934,-8.252038824353724,-8.1291097613956,-8.262435376988183,-8.239315340387014,0.09273455658309057,16,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,200.0,,5,0.1
gradient_boosting,randomized,1.3368862628936768,0.13914784502570093,0.008532094955444335,0.00031081036056959346,"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.03}",-0.049446430980173206,-0.02937151782392644,0.006229652708146571,-0.006415422680255745,-0.0024020704703477946,-0.016281157849311324,0.020337115109878675,8,-93.98366078856425,-100.65060446369398,-99.04097380893558,-97.07681179589073,-97.3981716233194,-97.63004449608079,2.225778499129891,8,-7.514492120154987,-7.818689694039129,-7.744963698752935,-7.824642292918628,-7.742903071204606,-7.729138175414057,0.11283027920885183,8,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,100.0,,5,0.03
gradient_boosting,randomized,0.5751114845275879,0.10898104437760031,0.007226085662841797,0.0006774616262263885,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.1}",-0.03974640826715925,-0.007086250437200459,0.014721093672495744,-0.004710846449857975,0.008455439345598226,-0.005673394427224743,0.01886505776020699,6,-93.1149707655301,-98.47158008399215,-98.19470124260064,-96.91239179379123,-96.34320412513856,-96.60736960221054,1.9159631535104318,6,-7.4639269110123765,-7.72026599756422,-7.749145716051554,-7.813937713841103,-7.768980242257442,-7.703251316145338,0.12348581828007536,7,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,100.0,,2,0.1
gradient_boosting,randomized,1.1172472953796386,0.0928156895582456,0.0065230846405029295,0.001756256423650404,"{'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.05}",-0.04151024339260623,-0.0017694819002394002,0.013935425351095265,-0.0022458035848533786,0.01110678584374758,-0.004096663536571232,0.01982381657141673,4,-93.27293183645597,-97.95171339079866,-98.27300238718036,-96.67461870637413,-96.08558663923446,-96.45157059200872,1.7807572127909892,4,-7.480865895011242,-7.696191132122701,-7.747177393156366,-7.823834947264312,-7.75231470884649,-7.700076815280222,0.11690326196601428,6,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,200.0,,2,0.05
gradient_boosting,randomized,1.1140336990356445,0.01608990694206342,0.005611276626586914,0.0011589061181896435,"{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.05}",-0.08156947181003238,-0.03874888170089941,-0.004078143418941638,-0.007951046364500503,-0.02387873034863186,-0.03124525472860116,0.02801345749549907,10,-96.86045457596217,-101.56751087323657,-100.06826765910212,-97.22493497447611,-99.48494644785588,-99.04122290612656,1.77135511738168,10,-7.623038702207992,-7.857908432641908,-7.813336932574166,-7.869857452403981,-7.817072981098557,-7.796242900185321,0.08938403951784751,10,"{'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",,100.0,,5,0.05
