model,eps,min_samples,cluster_count_excluding_noise,noise_count,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,training_time_seconds
DBSCAN,2.8,3,1,15,0.08426966292134831,,,,0.0061997000011615455
DBSCAN,2.8,4,1,15,0.08426966292134831,,,,0.007366899999396992
DBSCAN,2.8,5,1,15,0.08426966292134831,,,,0.00738910000109172
DBSCAN,2.8,6,1,19,0.10674157303370786,,,,0.006676200000583776
DBSCAN,2.8,8,1,19,0.10674157303370786,,,,0.00876810000045225
DBSCAN,2.8,10,1,19,0.10674157303370786,,,,0.006548999999722582
DBSCAN,2.9,3,1,12,0.06741573033707865,,,,0.006823199999416829
DBSCAN,2.9,4,1,12,0.06741573033707865,,,,0.007745000000795699
DBSCAN,2.9,5,1,12,0.06741573033707865,,,,0.0072065000003931345
DBSCAN,2.9,6,1,12,0.06741573033707865,,,,0.005895599999348633
DBSCAN,2.9,8,1,13,0.07303370786516854,,,,0.006336000000374042
DBSCAN,2.9,10,1,14,0.07865168539325842,,,,0.00728259999959846
DBSCAN,3.0,3,2,7,0.03932584269662921,0.2391871796270332,6.12158681562334,1.0297988593514376,0.006003200000122888
DBSCAN,3.0,4,1,11,0.06179775280898876,,,,0.00480509999943024
DBSCAN,3.0,5,1,11,0.06179775280898876,,,,0.006223200000022189
DBSCAN,3.0,6,1,11,0.06179775280898876,,,,0.007084600001689978
DBSCAN,3.0,8,1,11,0.06179775280898876,,,,0.006041700000423589
DBSCAN,3.0,10,1,12,0.06741573033707865,,,,0.008135300000503776
DBSCAN,3.1,3,2,5,0.028089887640449437,0.23685919331842456,6.083317272815149,1.0308450959703785,0.006279100000028848
DBSCAN,3.1,4,1,8,0.0449438202247191,,,,0.0036349999991216464
DBSCAN,3.1,5,1,9,0.05056179775280899,,,,0.004523699999481323
DBSCAN,3.1,6,1,9,0.05056179775280899,,,,0.004363599999123835
DBSCAN,3.1,8,1,9,0.05056179775280899,,,,0.004900899999483954
DBSCAN,3.1,10,1,9,0.05056179775280899,,,,0.004618999999365769
DBSCAN,3.2,3,2,5,0.028089887640449437,0.23685919331842456,6.083317272815149,1.0308450959703785,0.0056035000015981495
DBSCAN,3.2,4,1,8,0.0449438202247191,,,,0.00601979999919422
DBSCAN,3.2,5,1,8,0.0449438202247191,,,,0.007262299999638344
DBSCAN,3.2,6,1,9,0.05056179775280899,,,,0.005613400000584079
